Zona;Contrato;Uso;Direccion Suministro;Contador;Diametro;F.Instalacion;Marca;Emplazamiento;Edad
"	Z022";275284;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -1 A;42904;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275224;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -1 B;42921;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275223;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -1 C;42924;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275299;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -1 D;42907;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275319;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -2 A;42901;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275304;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -2 C;42919;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275279;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -3 A;42928;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275347;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -3 B;42923;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275281;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -3 C;42925;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275264;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -3 D;42905;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275226;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -4 A;42900;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275322;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -4 B;42927;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";9304213;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -4 C;42922;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275225;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -4 D;42920;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267298;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -BJ;42931;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275354;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -BJ A;42906;15;01/01/2021;Sin Determinar;Sin determinar;3
